#idx     perf      run   period           start             end          rel_st      slack c_duration   c_period     wu_lat   cpu       freq dl_runtime  dl_period dl_deadline
   3    11305  1050563  1132943     38460006084     38461139027         2032311    -233066    1040122    1190000          0     4    1400000 1094866000 1190000000 1190000000
   3    11305  1050575  1285447     38461139037     38462424483         3165264    -328523    1040122    1190000          0     4    1400000 1094866000 1190000000 1190000000
   3    11305  1051125  1136846     38462424493     38463561339         4450720    -275378    1040122    1190000          0     4    1400000 1094866000 1190000000 1190000000
   3    11305  1050461  1132800     38463561348     38464694148         5587575    -218187    1040122    1190000          0     4    1400000 1094866000 1190000000 1190000000
   3    11305  1050466  1285439     38464694157     38465979596         6720384    -313635    1040122    1190000          0     4    1400000 1094866000 1190000000 1190000000
   3    11305  1050480  1132873     38465979605     38467112478         8005832    -256517    1040122    1190000          0     4    1400000 1094866000 1190000000 1190000000
   3    11305  1050467  1132827     38467112487     38468245314         9138714    -199354    1040122    1190000          0     4    1400000 1094866000 1190000000 1190000000
   3    11305  1050452  1060395     38468245323     38469305718        10271550     -69757    1040122    1190000          0     4    1400000 1094866000 1190000000 1190000000
   3    11305  1050467  1120285     38469305727     38470426012        11331954      59884    1040122    1190000         50     4    1400000 1094866000 1190000000 1190000000
   3    11305  1050703  1501814     38470426022     38471927836        12452249    -311875    1040122    1190000          0     4    1400000 1094866000 1190000000 1190000000
   3    11305  1050556  1285440     38471927845     38473213285        13954072    -407324    1040122    1190000          0     4    1400000 1094866000 1190000000 1190000000
   3    11305  1051005  1289403     38473213294     38474502697        15239521    -506736    1040122    1190000          0     4    1400000 1094866000 1190000000 1190000000
   3    11305  1050464  1132846     38474502707     38475635553        16528934    -449592    1040122    1190000          0     4    1400000 1094866000 1190000000 1190000000
   3    11305  1050471  1132874     38475635562     38476768436        17661789    -392475    1040122    1190000          0     4    1400000 1094866000 1190000000 1190000000
   3    11305  1050471  1285385     38476768444     38478053829        18794671    -487868    1040122    1190000          0     4    1400000 1094866000 1190000000 1190000000
   3    11305  1050433  1060442     38478053838     38479114280        20080065    -358320    1040122    1190000          0     4    1400000 1094866000 1190000000 1190000000
   3    11305  1050464  1132903     38479114289     38480247192        21140516    -301231    1040122    1190000          0     4    1400000 1094866000 1190000000 1190000000
   3    11305  1050447  1060417     38480247201     38481307618        22273428    -171657    1040122    1190000          0     4    1400000 1094866000 1190000000 1190000000
   3    11305  1050440  1060334     38481307627     38482367961        23333854     -42000    1040122    1190000          0     4    1400000 1094866000 1190000000 1190000000
   3    11305  1050467  1205293     38482367969     38483573262        24394196     -57301    1040122    1190000          0     4    1400000 1094866000 1190000000 1190000000
   3    11305  1050465  1285374     38483573270     38484858644        25599497    -152684    1040122    1190000          0     4    1400000 1094866000 1190000000 1190000000
   3    11305  1050452  1060349     38484858653     38485919002        26884880     -23041    1040122    1190000          0     4    1400000 1094866000 1190000000 1190000000
   3    11305  1050449  1167001     38485919010     38487086012        27945237      34125    1040122    1190000         50     4    1400000 1094866000 1190000000 1190000000
   3    11305  1050575  1423119     38487086061     38488509180        29112288    -233219    1040122    1190000          0     4    1400000 1094866000 1190000000 1190000000
   3    11305  1050586  1640587     38488509189     38490149776        30535416    -683815    1040122    1190000          0     4    1400000 1094866000 1190000000 1190000000
   3    11305  1050559  1060548     38490149785     38491210333        32176012    -554372    1040122    1190000          0     4    1400000 1094866000 1190000000 1190000000
   3    11305  1050560  1060508     38491210342     38492270850        33236569    -424889    1040122    1190000          0     4    1400000 1094866000 1190000000 1190000000
   3    11305  1050563  1060686     38492270859     38493331544        34297086    -295584    1040122    1190000          0     4    1400000 1094866000 1190000000 1190000000
   3    11305  1050561  1285303     38493331553     38494616856        35357780    -390896    1040122    1190000          0     4    1400000 1094866000 1190000000 1190000000
   3    11305  1050594  1205448     38494616865     38495822313        36643092    -406353    1040122    1190000          0     4    1400000 1094866000 1190000000 1190000000
   3    11305  1050888  1063004     38495822322     38496885326        37848549    -279366    1040122    1190000          0     4    1400000 1094866000 1190000000 1190000000
   3    11305  1050453  1060382     38496885336     38497945717        38911563    -149757    1040122    1190000          0     4    1400000 1094866000 1190000000 1190000000
   3    11305  1050448  1132759     38497945726     38499078485        39971953     -92524    1040122    1190000          0     4    1400000 1094866000 1190000000 1190000000
   3    11305  1050436  1132797     38499078494     38500211290        41104721     -35330    1040122    1190000          0     4    1400000 1094866000 1190000000 1190000000
   3    11305  1050472  1285444     38500211299     38501496743        42237526    -130782    1040122    1190000          0     4    1400000 1094866000 1190000000 1190000000
   3    11305  1050443  1060437     38501496751     38502557189        43522978      -1228    1040122    1190000          0     4    1400000 1094866000 1190000000 1190000000
   3    11305  1050444  1188816     38502557197     38503746013        44583424     128423    1040122    1190000         51     4    1400000 1094866000 1190000000 1190000000
   3    11305  1050650  1349161     38503746023     38505095183        45772250    -159223    1040122    1190000          0     4    1400000 1094866000 1190000000 1190000000
   3    11305  1050581  1640384     38505095193     38506735576        47121420    -609616    1040122    1190000          0     4    1400000 1094866000 1190000000 1190000000
   3    11305  1050567  1132967     38506735586     38507868553        48761813    -552592    1040122    1190000          0     4    1400000 1094866000 1190000000 1190000000
   3    11305  1050548  1060470     38507868562     38508929032        49894789    -423072    1040122    1190000          0     4    1400000 1094866000 1190000000 1190000000
   3    11305  1050548  1285300     38508929041     38510214341        50955268    -518380    1040122    1190000          0     4    1400000 1094866000 1190000000 1190000000
   3    11305  1050626  1060710     38510214350     38511275060        52240577    -389099    1040122    1190000          0     4    1400000 1094866000 1190000000 1190000000
   3    11305  1050570  1133090     38511275069     38512408158        53301296    -332198    1040122    1190000          0     4    1400000 1094866000 1190000000 1190000000
   3    11305  1050564  1285347     38512408168     38513693514        54434394    -427554    1040122    1190000          0     4    1400000 1094866000 1190000000 1190000000
   3    11305  1050514  1059788     38513693523     38514753311        55719750    -297350    1040122    1190000          0     4    1400000 1094866000 1190000000 1190000000
   3    11305  1050512  1059874     38514753320     38515813194        56779547    -167234    1040122    1190000          0     4    1400000 1094866000 1190000000 1190000000
   3    11305  1050513  1059806     38515813240     38516873046        57839467     -37085    1040122    1190000          0     4    1400000 1094866000 1190000000 1190000000
   3    11305  1050505  1152952     38516873055     38518026007        58899282      93000    1040122    1190000         44     4    1400000 1094866000 1190000000 1190000000
   3    11305  1050622  1190039     38518026021     38519216061        60052248     131002    1040122    1190000         98     4    1400000 1094866000 1190000000 1190000000
   3    11305  1050623  1189940     38519216072     38520406012        61242299     130844    1040122    1190000         51     4    1400000 1094866000 1190000000 1190000000
   3    11305  1050627  1190018     38520406022     38521596040        62432249     130895    1040122    1190000         78     4    1400000 1094866000 1190000000 1190000000
   3    11305  1050613  1189962     38521596050     38522786012        63622277     131029    1040122    1190000         50     4    1400000 1094866000 1190000000 1190000000
   3    11305  1050583  1190043     38522786022     38523976064        64812249     131208    1040122    1190000        103     4    1400000 1094866000 1190000000 1190000000
   3    11305  1050618  1189938     38523976074     38525166012        66002301     130843    1040122    1190000         50     4    1400000 1094866000 1190000000 1190000000
   3    11305  1050678  1190052     38525166021     38526356073        67192248     130380    1040122    1190000        112     4    1400000 1094866000 1190000000 1190000000
   3    11305  1050612  1189929     38526356083     38527546012        68382310     130887    1040122    1190000         50     4    1400000 1094866000 1190000000 1190000000
