num_tasks	util	tset_idx	idx	filename	perf	c_duration	c_period	dl_runtime	dl_period	dl_deadline	cpu	freq	count	misses	miss_ratio	minslack	maxslack	migrations	tot_duration
6	1.0	0	0	out-results/apedf/schedutil/ts_n06_i00_u1.0000.rt-app.d/rt-app-task00-0.log	3710	341366	1150000	359333	1150000	1150000	4	1.4	51	0	0.0	263828	428038	0	58485756
6	1.0	0	1	out-results/apedf/schedutil/ts_n06_i00_u1.0000.rt-app.d/rt-app-task01-1.log	256	23614	100000	25614	100000	100000	4	0.5	590	0	0.0	67876	75911	0	58999930
6	1.0	0	2	out-results/apedf/schedutil/ts_n06_i00_u1.0000.rt-app.d/rt-app-task02-2.log	357	32873	910000	34873	910000	910000	4	1.4	64	0	0.0	293281	876424	0	58199628
6	1.0	0	3	out-results/apedf/schedutil/ts_n06_i00_u1.0000.rt-app.d/rt-app-task03-3.log	436	40169	540000	42284	540000	540000	5	0.5	109	0	0.0	495792	499058	0	58859833
6	1.0	0	4	out-results/apedf/schedutil/ts_n06_i00_u1.0000.rt-app.d/rt-app-task04-4.log	375	34535	320000	36535	320000	320000	4	1.4	184	0	0.0	228337	284779	0	58831157
6	1.0	0	5	out-results/apedf/schedutil/ts_n06_i00_u1.0000.rt-app.d/rt-app-task05-5.log	239	22072	120000	24072	120000	120000	4	1.4	491	0	0.0	59197	97473	0	58897832
6	1.0	1	0	out-results/apedf/schedutil/ts_n06_i01_u1.0000.rt-app.d/rt-app-task00-0.log	48	4492	320000	6492	320000	320000	4	0.9	184	0	0.0	273879	312764	0	58855109
6	1.0	1	1	out-results/apedf/schedutil/ts_n06_i01_u1.0000.rt-app.d/rt-app-task01-1.log	417	38376	100000	40396	100000	100000	5	0.6	590	0	0.0	30133	39130	0	58999939
6	1.0	1	2	out-results/apedf/schedutil/ts_n06_i01_u1.0000.rt-app.d/rt-app-task02-2.log	976	89810	1180000	94537	1180000	1180000	4	0.9	50	0	0.0	355664	1027889	0	58320700
6	1.0	1	3	out-results/apedf/schedutil/ts_n06_i01_u1.0000.rt-app.d/rt-app-task03-3.log	199	18345	400000	20345	400000	400000	4	0.9	147	0	0.0	246123	370786	0	58855104
6	1.0	1	4	out-results/apedf/schedutil/ts_n06_i01_u1.0000.rt-app.d/rt-app-task04-4.log	3568	328347	910000	345629	910000	910000	4	0.9	64	0	0.0	235274	301644	0	58210386
6	1.0	1	5	out-results/apedf/schedutil/ts_n06_i01_u1.0000.rt-app.d/rt-app-task05-5.log	175	16190	280000	18190	280000	280000	4	0.6	210	0	0.0	250228	254234	0	58799967
6	1.0	2	0	out-results/apedf/schedutil/ts_n06_i02_u1.0000.rt-app.d/rt-app-task00-0.log	1366	125707	610000	132324	610000	610000	4	1.1	96	0	0.0	173538	390712	0	58491555
6	1.0	2	1	out-results/apedf/schedutil/ts_n06_i02_u1.0000.rt-app.d/rt-app-task01-1.log	804	74030	660000	77927	660000	660000	4	1.1	89	0	0.0	161694	528716	0	58489228
6	1.0	2	2	out-results/apedf/schedutil/ts_n06_i02_u1.0000.rt-app.d/rt-app-task02-2.log	158	14581	460000	16581	460000	460000	4	1.1	128	0	0.0	243755	442587	0	58830561
6	1.0	2	3	out-results/apedf/schedutil/ts_n06_i02_u1.0000.rt-app.d/rt-app-task03-3.log	152	13987	130000	15987	130000	130000	4	1.1	454	0	0.0	77299	113292	0	58995432
6	1.0	2	4	out-results/apedf/schedutil/ts_n06_i02_u1.0000.rt-app.d/rt-app-task04-4.log	570	52472	210000	55234	210000	210000	5	0.4	280	0	0.0	138476	147655	0	58799813
