num_tasks	util	tset_idx	freq	count	misses	miss_ratio	minslack	maxslack	migrations
6	1.0	0	0	1489	0	0.0	59197	876424	0
6	1.0	1	0	1245	0	0.0	30133	1027889	0
6	1.0	2	0	1637	0	0.0	65571	528716	0
6	1.0	3	0	1527	0	0.0	64516	800987	0
6	1.0	4	0	1045	0	0.0	115172	633971	0
6	1.0	5	0	1038	0	0.0	85213	1145229	0
6	1.0	6	0	1349	0	0.0	67941	647858	0
6	1.0	7	0	1521	0	0.0	85391	648062	0
6	1.0	8	0	967	0	0.0	133017	893114	0
6	1.0	9	0	1830	0	0.0	89689	404266	0
6	1.15	0	0	1489	1	0.000671591672263264	-28268	871187	0
6	1.15	1	0	1244	19	0.01527331189710611	-5709	786283	0
6	1.15	2	0	1637	0	0.0	64646	573344	0
6	1.15	3	0	1527	0	0.0	103120	797835	0
6	1.15	4	0	1045	0	0.0	101152	627014	0
6	1.15	5	0	1039	11	0.010587102983638113	-303	1145821	0
6	1.15	6	0	1348	3	0.002225519287833828	-72	644269	0
6	1.15	7	0	1521	0	0.0	75876	547956	0
6	1.15	8	0	965	0	0.0	76579	871478	0
6	1.15	9	0	1830	0	0.0	85742	387855	0
6	1.3	0	0	1489	0	0.0	19432	866047	0
6	1.3	1	0	1245	1	0.0008032128514056225	-22679	675108	0
6	1.3	2	0	1637	0	0.0	47128	515617	0
6	1.3	3	0	1527	0	0.0	27317	787794	0
6	1.3	4	0	1045	0	0.0	85584	630469	0
6	1.3	5	0	1039	0	0.0	89408	1126465	0
6	1.3	6	0	1348	0	0.0	57301	635771	0
6	1.3	7	0	1521	3	0.0019723865877712033	-99010	514079	0
6	1.3	8	0	966	6	0.006211180124223602	-77	884495	0
6	1.3	9	0	1311	0	0.0	87721	407646	0
6	1.45	0	0	1488	0	0.0	17898	861024	0
6	1.45	1	0	1245	1	0.0008032128514056225	-71	609042	0
6	1.45	2	0	1636	2	0.0012224938875305623	-72	437430	0
6	1.45	3	0	1527	1	0.0006548788474132286	-29125	789388	0
6	1.45	4	0	1046	0	0.0	82969	621260	0
6	1.45	5	0	1039	0	0.0	90206	1078394	0
6	1.45	6	0	1348	0	0.0	53292	631562	0
6	1.45	7	0	1521	0	0.0	67130	648132	0
6	1.45	8	0	965	0	0.0	118879	880224	0
6	1.45	9	0	1312	0	0.0	93306	406691	0
6	1.6	0	0	1489	1	0.000671591672263264	-462	856012	0
6	1.6	1	0	1245	0	0.0	65499	422050	0
6	1.6	2	0	1636	0	0.0	25091	530082	0
6	1.6	3	0	1527	0	0.0	38171	785983	0
6	1.6	4	0	1045	0	0.0	62299	623206	0
6	1.6	5	0	1038	2	0.0019267822736030828	-67	1075729	0
6	1.6	6	0	1348	0	0.0	48059	630617	0
6	1.6	7	0	1521	1	0.0006574621959237344	-74	550535	0
6	1.6	8	0	965	0	0.0	103714	872801	0
6	1.6	9	0	1311	0	0.0	93704	406650	0
6	1.75	0	0	1489	0	0.0	41195	850898	0
6	1.75	1	0	1245	0	0.0	61833	363220	0
6	1.75	2	0	1637	0	0.0	51399	486902	0
6	1.75	3	0	1527	0	0.0	29362	785290	0
6	1.75	4	0	1046	0	0.0	68721	619654	0
6	1.75	5	0	1039	0	0.0	65394	1122913	0
6	1.75	6	0	1348	0	0.0	49544	629904	0
6	1.75	7	0	1521	0	0.0	36984	540126	0
6	1.75	8	0	965	0	0.0	33860	858871	0
6	1.75	9	0	1312	0	0.0	73014	406175	0
6	1.9	0	0	1490	2	0.0013422818791946308	-66	798653	0
6	1.9	1	0	1245	0	0.0	50926	438429	0
6	1.9	2	0	1637	0	0.0	29526	516805	0
6	1.9	3	0	1526	0	0.0	36059	782141	0
6	1.9	4	0	1046	0	0.0	84076	612796	0
6	1.9	5	0	1039	0	0.0	59666	1117158	0
6	1.9	6	0	1348	0	0.0	15966	626414	0
6	1.9	7	0	1521	0	0.0	46839	707524	0
6	1.9	8	0	965	0	0.0	57168	867934	0
6	1.9	9	0	1311	0	0.0	85584	405695	0
6	2.05	0	0	1490	0	0.0	46733	790807	0
6	2.05	1	0	1245	0	0.0	46913	769186	0
6	2.05	2	0	1637	0	0.0	41803	505430	0
6	2.05	3	0	1527	0	0.0	25254	779092	0
6	2.05	4	0	1045	0	0.0	85324	612766	0
6	2.05	5	0	1038	0	0.0	78109	1111263	0
6	2.05	6	0	1349	0	0.0	26588	623043	0
6	2.05	7	0	1520	0	0.0	77028	322997	0
6	2.05	8	0	965	0	0.0	72967	859517	0
6	2.05	9	0	1311	39	0.029748283752860413	-200589	353540	292
6	2.2	0	0	1490	0	0.0	39638	545717	0
6	2.2	1	0	1245	0	0.0	50317	628726	0
6	2.2	2	0	1636	0	0.0	25814	481379	0
6	2.2	3	0	1527	0	0.0	30605	762597	0
6	2.2	4	0	1045	0	0.0	79025	609342	0
6	2.2	5	0	1038	0	0.0	68585	1105602	0
6	2.2	6	0	1348	0	0.0	70991	475781	0
6	2.2	7	0	1520	0	0.0	71920	602823	0
6	2.2	8	0	965	0	0.0	42412	855058	0
6	2.2	9	0	1311	261	0.19908466819221968	-249302	338849	193
6	2.35	0	0	1490	0	0.0	41683	756303	0
6	2.35	1	0	1245	0	0.0	57063	595233	0
6	2.35	2	0	1636	0	0.0	42723	422280	0
6	2.35	3	0	1527	0	0.0	12067	773074	0
6	2.35	4	0	1045	0	0.0	80231	605816	0
6	2.35	5	0	1039	0	0.0	75751	1043570	0
6	2.35	6	0	1348	0	0.0	61457	472480	0
6	2.35	7	0	974	0	0.0	54590	518368	0
6	2.35	8	0	965	359	0.37202072538860104	-458563	855663	0
6	2.35	9	0	1310	263	0.20076335877862594	-347574	324101	74
6	2.5	0	0	1489	0	0.0	29911	740147	0
