#idx     perf      run   period           start             end          rel_st      slack c_duration   c_period     wu_lat   cpu       freq dl_runtime  dl_period dl_deadline
   3    11141  1035397  1189973     10621692402     10622882375          761604     145778    1025059    1190000         50     7    1400000 1079010000 1190000000 1190000000
   3    11141  1035392  1189993     10622882385     10624072379         1951587     146060    1025059    1190000         53     7    1400000 1079010000 1190000000 1190000000
   3    11141  1035382  1189988     10624072388     10625262376         3141590     146038    1025059    1190000         50     7    1400000 1079010000 1190000000 1190000000
   3    11141  1035373  1189994     10625262385     10626452379         4331586     145681    1025059    1190000         53     7    1400000 1079010000 1190000000 1190000000
   3    11141  1035365  1189986     10626452388     10627642374         5521590     145612    1025059    1190000         48     7    1400000 1079010000 1190000000 1190000000
   3    11141  1035319  1190003     10627642383     10628832386         6711585     145337    1025059    1190000         60     7    1400000 1079010000 1190000000 1190000000
   3    11141  1035329  1189963     10628832396     10630022359         7901598     145698    1025059    1190000         33     7    1400000 1079010000 1190000000 1190000000
   3    11141  1035420  1190017     10630022368     10631212385         9091569     146212    1025059    1190000         58     7    1400000 1079010000 1190000000 1190000000
   3    11141  1035343  1189980     10631212394     10632402374        10281596     145094    1025059    1190000         48     7    1400000 1079010000 1190000000 1190000000
   3    11141  1035332  1189995     10632402384     10633592379        11471585     145589    1025059    1190000         53     7    1400000 1079010000 1190000000 1190000000
   3    11141  1035380  1189987     10633592388     10634782375        12661589     145998    1025059    1190000         49     7    1400000 1079010000 1190000000 1190000000
   3    11141  1035390  1189998     10634782384     10635972382        13851585     145683    1025059    1190000         56     7    1400000 1079010000 1190000000 1190000000
   3    11141  1035373  1189984     10635972391     10637162375        15041593     146097    1025059    1190000         49     7    1400000 1079010000 1190000000 1190000000
   3    11141  1035334  1189995     10637162384     10638352380        16231586     145356    1025059    1190000         54     7    1400000 1079010000 1190000000 1190000000
   3    11141  1035342  1189987     10638352389     10639542376        17421591     145606    1025059    1190000         50     7    1400000 1079010000 1190000000 1190000000
   3    11141  1035321  1190001     10639542385     10640732386        18611587     145108    1025059    1190000         60     7    1400000 1079010000 1190000000 1190000000
   3    11141  1035320  1189979     10640732396     10641922375        19801597     145441    1025059    1190000         49     7    1400000 1079010000 1190000000 1190000000
   3    11141  1035327  1189999     10641922385     10643112383        20991586     145159    1025059    1190000         57     7    1400000 1079010000 1190000000 1190000000
   3    11141  1035390  1189981     10643112393     10644302374        22181594     145474    1025059    1190000         48     7    1400000 1079010000 1190000000 1190000000
   3    11141  1035334  1189996     10644302383     10645492378        23371584     145260    1025059    1190000         53     7    1400000 1079010000 1190000000 1190000000
   3    11141  1035397  1189986     10645492388     10646682374        24561589     146266    1025059    1190000         49     7    1400000 1079010000 1190000000 1190000000
   3    11141  1035360  1189995     10646682383     10647872378        25751585     145370    1025059    1190000         52     7    1400000 1079010000 1190000000 1190000000
   3    11141  1035367  1189988     10647872387     10649062376        26941589     145775    1025059    1190000         50     7    1400000 1079010000 1190000000 1190000000
   3    11141  1035363  1189951     10649062427     10650252379        28131629     145688    1025059    1190000         53     7    1400000 1079010000 1190000000 1190000000
   3    11141  1035349  1189987     10650252388     10651442376        29321590     145703    1025059    1190000         50     7    1400000 1079010000 1190000000 1190000000
   3    11141  1035350  1189995     10651442385     10652632380        30511586     145502    1025059    1190000         54     7    1400000 1079010000 1190000000 1190000000
   3    11141  1035339  1189986     10652632389     10653822375        31701591     145409    1025059    1190000         49     7    1400000 1079010000 1190000000 1190000000
   3    11141  1035322  1190001     10653822385     10655012386        32891586     145384    1025059    1190000         60     7    1400000 1079010000 1190000000 1190000000
   3    11141  1035351  1190000     10655012395     10656202395        34081597     145439    1025059    1190000         69     7    1400000 1079010000 1190000000 1190000000
   3    11141  1035419  1189974     10656202404     10657392378        35271606     146107    1025059    1190000         53     7    1400000 1079010000 1190000000 1190000000
   3    11141  1035384  1189987     10657392388     10658582375        36461589     146160    1025059    1190000         49     7    1400000 1079010000 1190000000 1190000000
   3    11141  1035382  1189994     10658582385     10659772379        37651586     146445    1025059    1190000         53     7    1400000 1079010000 1190000000 1190000000
   3    11141  1035379  1189986     10659772388     10660962374        38841590     145878    1025059    1190000         48     7    1400000 1079010000 1190000000 1190000000
   3    11141  1035342  1189998     10660962383     10662152381        40031585     145863    1025059    1190000         55     7    1400000 1079010000 1190000000 1190000000
   3    11141  1035346  1189986     10662152390     10663342376        41221592     145568    1025059    1190000         50     7    1400000 1079010000 1190000000 1190000000
   3    11141  1035327  1190000     10663342386     10664532386        42411587     145637    1025059    1190000         60     7    1400000 1079010000 1190000000 1190000000
   3    11141  1035360  1189980     10664532395     10665722375        43601596     145279    1025059    1190000         49     7    1400000 1079010000 1190000000 1190000000
   3    11141  1035325  1190001     10665722385     10666912385        44791586     145339    1025059    1190000         59     7    1400000 1079010000 1190000000 1190000000
   3    11141  1035327  1189981     10666912395     10668102376        45981596     145330    1025059    1190000         50     7    1400000 1079010000 1190000000 1190000000
   3    11141  1035336  1189995     10668102385     10669292380        47171586     145389    1025059    1190000         54     7    1400000 1079010000 1190000000 1190000000
   3    11141  1035397  1189987     10669292389     10670482376        48361591     145850    1025059    1190000         50     7    1400000 1079010000 1190000000 1190000000
   3    11141  1035361  1189993     10670482385     10671672378        49551586     146081    1025059    1190000         52     7    1400000 1079010000 1190000000 1190000000
   3    11141  1035373  1189987     10671672388     10672862374        50741589     145920    1025059    1190000         48     7    1400000 1079010000 1190000000 1190000000
   3    11141  1035368  1189997     10672862383     10674052380        51931585     145756    1025059    1190000         54     7    1400000 1079010000 1190000000 1190000000
   3    11141  1035340  1189986     10674052390     10675242376        53121591     145155    1025059    1190000         50     7    1400000 1079010000 1190000000 1190000000
   3    11141  1035347  1190001     10675242385     10676432385        54311586     145393    1025059    1190000         60     7    1400000 1079010000 1190000000 1190000000
   3    11141  1035346  1189980     10676432395     10677622375        55501596     145445    1025059    1190000         49     7    1400000 1079010000 1190000000 1190000000
   3    11141  1035331  1189963     10677622422     10678812385        56691624     144983    1025059    1190000         59     7    1400000 1079010000 1190000000 1190000000
   3    11141  1035314  1189979     10678812395     10680002374        57881596     145099    1025059    1190000         48     7    1400000 1079010000 1190000000 1190000000
