#idx     perf      run   period           start             end          rel_st      slack c_duration   c_period     wu_lat   cpu       freq dl_runtime  dl_period dl_deadline
   3    10978  1021612  1189738     28706963051     28708152789         1741073     158302    1009996    1190000         95     7     200000 1063154000 1190000000 1190000000
   3    10978  1020608  1190002     28708152802     28709342804         2930823     160997    1009996    1190000        110     7    1100000 1063154000 1190000000 1190000000
   3    10978  1020564  1189972     28709342817     28710532789         4120838     160274    1009996    1190000         95     7    1100000 1063154000 1190000000 1190000000
   3    10978  1020583  1190002     28710532801     28711722802         5310822     160618    1009996    1190000        108     7    1100000 1063154000 1190000000 1190000000
   3    10978  1020572  1189975     28711722814     28712912789         6500835     160548    1009996    1190000         95     7    1100000 1063154000 1190000000 1190000000
   3    10978  1020583  1190002     28712912800     28714102802         7690822     160425    1009996    1190000        108     7    1100000 1063154000 1190000000 1190000000
   3    10978  1020592  1189975     28714102814     28715292789         8880835     160098    1009996    1190000         95     7    1100000 1063154000 1190000000 1190000000
   3    10978  1020590  1190003     28715292801     28716482804        10070822     160346    1009996    1190000        109     7    1100000 1063154000 1190000000 1190000000
   3    10978  1020602  1189972     28716482816     28717672788        11260837     160451    1009996    1190000         93     7    1100000 1063154000 1190000000 1190000000
   3    10978  1020569  1189996     28717672799     28718862795        12450820     160214    1009996    1190000        101     7    1100000 1063154000 1190000000 1190000000
   3    10978  1020578  1189982     28718862807     28720052789        13640828     160381    1009996    1190000         95     7    1100000 1063154000 1190000000 1190000000
   3    10978  1020636  1190001     28720052800     28721242801        14830822     160628    1009996    1190000        107     7    1100000 1063154000 1190000000 1190000000
   3    10978  1020595  1189977     28721242813     28722432790        16020834     160885    1009996    1190000         96     7    1100000 1063154000 1190000000 1190000000
   3    10978  1020605  1190000     28722432802     28723622802        17210823     160894    1009996    1190000        107     7    1100000 1063154000 1190000000 1190000000
   3    10978  1020591  1189976     28723622813     28724812790        18400834     160457    1009996    1190000         96     7    1100000 1063154000 1190000000 1190000000
   3    10978  1020583  1190002     28724812801     28726002803        19590822     160094    1009996    1190000        109     7    1100000 1063154000 1190000000 1190000000
   3    10978  1020556  1189974     28726002815     28727192788        20780836     160384    1009996    1190000         94     7    1100000 1063154000 1190000000 1190000000
   3    10978  1020590  1190004     28727192799     28728382804        21970821     160430    1009996    1190000        109     7    1100000 1063154000 1190000000 1190000000
   3    10978  1020683  1189970     28728382815     28729572785        23160836     160776    1009996    1190000         91     7    1100000 1063154000 1190000000 1190000000
   3    10978  1020582  1190005     28729572797     28730762802        24350818     160070    1009996    1190000        107     7    1100000 1063154000 1190000000 1190000000
   3    10978  1021304  1189959     28730762814     28731952772        25540835     159152    1009996    1190000         78     7    1100000 1063154000 1190000000 1190000000
   3    10978  1024388  1190027     28731952786     28733142813        26730807     155410    1009996    1190000        118     7    1100000 1063154000 1190000000 1190000000
   3    10978  1022270  1189966     28733142825     28734332791        27920847     158578    1009996    1190000         97     7    1100000 1063154000 1190000000 1190000000
   3    10978  1020565  1189926     28734332876     28735522802        29110898     160935    1009996    1190000        107     7    1100000 1063154000 1190000000 1190000000
   3    10978  1020567  1189976     28735522814     28736712790        30300835     160267    1009996    1190000         95     7    1100000 1063154000 1190000000 1190000000
   3    10978  1020589  1189970     28736712802     28737902772        31490823     160288    1009996    1190000         78     7    1100000 1063154000 1190000000 1190000000
   3    10978  1020079  1190009     28737902782     28739092790        32680803     160876    1009996    1190000         96     7    1400000 1063154000 1190000000 1190000000
   3    10978  1020571  1190001     28739092802     28740282803        33870823     160293    1009996    1190000        108     7    1100000 1063154000 1190000000 1190000000
   3    10978  1020583  1189980     28740282814     28741472794        35060836     160146    1009996    1190000         99     7    1100000 1063154000 1190000000 1190000000
   3    10978  1020581  1189990     28741472805     28742662795        36250827     159928    1009996    1190000        101     7    1100000 1063154000 1190000000 1190000000
   3    10978  1020631  1189965     28742662807     28743852772        37440828     160909    1009996    1190000         78     7    1100000 1063154000 1190000000 1190000000
   3    10978  1020566  1190019     28743852784     28745042803        38630805     160229    1009996    1190000        108     7    1100000 1063154000 1190000000 1190000000
   3    10978  1020615  1189975     28745042814     28746232789        39820835     160474    1009996    1190000         94     7    1100000 1063154000 1190000000 1190000000
   3    10978  1020614  1189999     28746232801     28747422800        41010822     160527    1009996    1190000        105     7    1100000 1063154000 1190000000 1190000000
   3    10978  1020600  1189959     28747422811     28748612770        42200832     160110    1009996    1190000         75     7    1100000 1063154000 1190000000 1190000000
   3    10978  1020563  1189973     28748612782     28749802755        43390803     160439    1009996    1190000         61     7    1100000 1063154000 1190000000 1190000000
   3    10978  1020070  1190023     28749802764     28750992787        44580786     160962    1009996    1190000         93     7    1400000 1063154000 1190000000 1190000000
   3    10978  1020574  1190003     28750992799     28752182802        45770820     160008    1009996    1190000        107     7    1100000 1063154000 1190000000 1190000000
   3    10978  1020572  1189974     28752182813     28753372787        46960834     160013    1009996    1190000         92     7    1100000 1063154000 1190000000 1190000000
   3    10978  1020592  1190003     28753372798     28754562801        48150819     160221    1009996    1190000        107     7    1100000 1063154000 1190000000 1190000000
   3    10978  1020658  1189977     28754562813     28755752790        49340834     160632    1009996    1190000         95     7    1100000 1063154000 1190000000 1190000000
   3    10978  1020581  1190002     28755752802     28756942803        50530823     160212    1009996    1190000        109     7    1100000 1063154000 1190000000 1190000000
   3    10978  1020583  1189974     28756942816     28758132790        51720837     160767    1009996    1190000         95     7    1100000 1063154000 1190000000 1190000000
   3    10978  1020615  1189999     28758132802     28759322801        52910823     160427    1009996    1190000        106     7    1100000 1063154000 1190000000 1190000000
   3    10978  1020590  1189978     28759322812     28760512790        54100834     160419    1009996    1190000         96     7    1100000 1063154000 1190000000 1190000000
   3    10978  1020564  1189954     28760512802     28761702756        55290823     160267    1009996    1190000         62     7    1100000 1063154000 1190000000 1190000000
   3    10978  1020103  1190025     28761702765     28762892790        56480786     160891    1009996    1190000         95     7    1400000 1063154000 1190000000 1190000000
   3    10978  1020563  1189952     28762892848     28764082801        57670870     160043    1009996    1190000        106     7    1100000 1063154000 1190000000 1190000000
   3    10978  1020574  1189975     28764082812     28765272787        58860833     160069    1009996    1190000         93     7    1100000 1063154000 1190000000 1190000000
