#idx     perf      run   period           start             end          rel_st      slack c_duration   c_period     wu_lat   cpu       freq dl_runtime  dl_period dl_deadline
   3    10978  1020194  1288815     13691843020     13693131836          762058     -98902    1009996    1190000          0     7    1400000 1063154000 1190000000 1190000000
   3    10978  1020126  1387002     13693131846     13694518847         2050884    -295914    1009996    1190000          0     4    1400000 1063154000 1190000000 1190000000
   3    10978  1020118  1057433     13694518857     13695576290         3437895    -163357    1009996    1190000          0     4    1400000 1063154000 1190000000 1190000000
   3    10978  1020281  1030033     13695576300     13696606333         4495338      -3400    1009996    1190000          0     4    1400000 1063154000 1190000000 1190000000
   3    10978  1020099  1228764     13696606342     13697835106         5525380     -42173    1009996    1190000          0     4    1400000 1063154000 1190000000 1190000000
   3    10978  1020114  1147874     13697835116     13698982990         6754154     118563    1009996    1190000         56     4    1400000 1063154000 1190000000 1190000000
   3    10978  1020083  1189986     13698983000     13700172985         7902038     161540    1009996    1190000         51     4    1400000 1063154000 1190000000 1190000000
   3    10978  1020167  1190000     13700172995     13701362994         9092033      91794    1009996    1190000         60     6    1400000 1063154000 1190000000 1190000000
   3    10978  1020138  1189979     13701363004     13702552984        10282042     160565    1009996    1190000         49     4    1400000 1063154000 1190000000 1190000000
   3    10978  1020086  1496283     13702552993     13704049276        11472031    -306343    1009996    1190000          0     4    1400000 1063154000 1190000000 1190000000
   3    10978  1020114  1247973     13704049285     13705297258        12968323    -364325    1009996    1190000          0     4    1400000 1063154000 1190000000 1190000000
   3    10978  1020090  1028734     13705297267     13706326001        14216306    -203068    1009996    1190000          0     4    1400000 1063154000 1190000000 1190000000
   3    10978  1021996  1043204     13706326010     13707369214        15245049     -56281    1009996    1190000          0     4    1400000 1063154000 1190000000 1190000000
   3    10978  1020027  1276362     13707369224     13708645586        16288262    -142653    1009996    1190000          0     4    1400000 1063154000 1190000000 1190000000
   3    10978  1020015  1047388     13708645595     13709692983        17564633      17462    1009996    1190000         49     4    1400000 1063154000 1190000000 1190000000
