num_tasks	util	tset_idx	idx	filename	perf	c_duration	c_period	dl_runtime	dl_period	dl_deadline	cpu	freq	count	misses	miss_ratio	minslack	maxslack	migrations	tot_duration
6	1.0	0	0	out-results/global/performance/ts_n06_i00_u1.0000.rt-app.d/rt-app-task00-0.log	3710	341366	1150000	359333	1150000	1150000	5	1.4	51	0	0.0	763872	802765	24	58614550
6	1.0	0	1	out-results/global/performance/ts_n06_i00_u1.0000.rt-app.d/rt-app-task01-1.log	256	23614	100000	25614	100000	100000	7	1.4	590	0	0.0	74403	75882	0	58999945
6	1.0	0	2	out-results/global/performance/ts_n06_i00_u1.0000.rt-app.d/rt-app-task02-2.log	357	32873	910000	34873	910000	910000	7	1.4	64	0	0.0	852062	876471	18	58215723
6	1.0	0	3	out-results/global/performance/ts_n06_i00_u1.0000.rt-app.d/rt-app-task03-3.log	436	40169	540000	42284	540000	540000	4	1.4	109	0	0.0	496964	499038	0	58859963
6	1.0	0	4	out-results/global/performance/ts_n06_i00_u1.0000.rt-app.d/rt-app-task04-4.log	375	34535	320000	36535	320000	320000	5	1.4	184	0	0.0	284521	284785	0	58879944
6	1.0	0	5	out-results/global/performance/ts_n06_i00_u1.0000.rt-app.d/rt-app-task05-5.log	239	22072	120000	24072	120000	120000	6	1.4	491	0	0.0	96611	97434	0	58919967
6	1.0	1	0	out-results/global/performance/ts_n06_i01_u1.0000.rt-app.d/rt-app-task00-0.log	48	4492	320000	6492	320000	320000	4	1.4	184	0	0.0	315175	315317	0	58879978
6	1.0	1	1	out-results/global/performance/ts_n06_i01_u1.0000.rt-app.d/rt-app-task01-1.log	417	38376	100000	40396	100000	100000	6	1.4	590	0	0.0	59606	60863	0	58999963
6	1.0	1	2	out-results/global/performance/ts_n06_i01_u1.0000.rt-app.d/rt-app-task02-2.log	976	89810	1180000	94537	1180000	1180000	6	1.4	50	0	0.0	1049096	1088597	20	58960669
6	1.0	1	3	out-results/global/performance/ts_n06_i01_u1.0000.rt-app.d/rt-app-task03-3.log	199	18345	400000	20345	400000	400000	5	1.4	147	0	0.0	380791	381222	0	58799949
6	1.0	1	4	out-results/global/performance/ts_n06_i01_u1.0000.rt-app.d/rt-app-task04-4.log	3568	328347	910000	345629	910000	910000	5	1.4	64	0	0.0	556983	576058	38	58239993
6	1.0	1	5	out-results/global/performance/ts_n06_i01_u1.0000.rt-app.d/rt-app-task05-5.log	175	16190	280000	18190	280000	280000	7	1.4	210	0	0.0	263250	263420	0	58799965
6	1.0	2	0	out-results/global/performance/ts_n06_i02_u1.0000.rt-app.d/rt-app-task00-0.log	1366	125707	610000	132324	610000	610000	6	1.4	96	0	0.0	467359	482080	32	58545504
6	1.0	2	1	out-results/global/performance/ts_n06_i02_u1.0000.rt-app.d/rt-app-task01-1.log	804	74030	660000	77927	660000	660000	4	1.4	89	0	0.0	564360	584643	31	58724926
6	1.0	2	2	out-results/global/performance/ts_n06_i02_u1.0000.rt-app.d/rt-app-task02-2.log	158	14581	460000	16581	460000	460000	4	1.4	128	0	0.0	444895	445039	0	58879964
6	1.0	2	3	out-results/global/performance/ts_n06_i02_u1.0000.rt-app.d/rt-app-task03-3.log	152	13987	130000	15987	130000	130000	6	1.4	453	0	0.0	115467	115684	0	58889960
6	1.0	2	4	out-results/global/performance/ts_n06_i02_u1.0000.rt-app.d/rt-app-task04-4.log	570	52472	210000	55234	210000	210000	7	1.4	280	0	0.0	156190	156570	0	58799963
6	1.0	2	5	out-results/global/performance/ts_n06_i02_u1.0000.rt-app.d/rt-app-task05-5.log	242	22296	100000	24296	100000	100000	5	1.4	590	0	0.0	77028	77207	0	58999962
6	1.0	3	0	out-results/global/performance/ts_n06_i03_u1.0000.rt-app.d/rt-app-task00-0.log	929	85512	180000	90013	180000	180000	6	1.4	327	0	0.0	92505	92929	0	58859956
6	1.0	3	1	out-results/global/performance/ts_n06_i03_u1.0000.rt-app.d/rt-app-task01-1.log	191	17626	220000	19626	220000	220000	4	1.4	268	0	0.0	199500	201910	0	58959974
6	1.0	3	2	out-results/global/performance/ts_n06_i03_u1.0000.rt-app.d/rt-app-task02-2.log	736	67753	580000	71319	580000	580000	6	1.4	101	0	0.0	423614	511054	36	58492645
6	1.0	3	3	out-results/global/performance/ts_n06_i03_u1.0000.rt-app.d/rt-app-task03-3.log	201	18578	820000	20578	820000	820000	4	1.4	71	0	0.0	782759	800982	18	58201799
6	1.0	3	4	out-results/global/performance/ts_n06_i03_u1.0000.rt-app.d/rt-app-task04-4.log	118	10922	120000	12922	120000	120000	5	1.4	491	0	0.0	108572	108767	0	58919963
6	1.0	3	5	out-results/global/performance/ts_n06_i03_u1.0000.rt-app.d/rt-app-task05-5.log	348	32093	220000	34093	220000	220000	7	1.4	268	0	0.0	186947	187238	0	58959963
6	1.0	4	0	out-results/global/performance/ts_n06_i04_u1.0000.rt-app.d/rt-app-task00-0.log	357	32877	350000	34877	350000	350000	4	1.4	168	0	0.0	316176	316468	0	58799972
6	1.0	4	1	out-results/global/performance/ts_n06_i04_u1.0000.rt-app.d/rt-app-task01-1.log	236	21800	660000	23800	660000	660000	5	1.4	89	0	0.0	590531	637730	25	58692844
6	1.0	4	2	out-results/global/performance/ts_n06_i04_u1.0000.rt-app.d/rt-app-task02-2.log	267	24619	620000	26619	620000	620000	4	1.4	95	0	0.0	547720	594855	30	58866214
6	1.0	4	3	out-results/global/performance/ts_n06_i04_u1.0000.rt-app.d/rt-app-task03-3.log	500	46009	260000	48431	260000	260000	5	1.4	226	0	0.0	212817	213117	0	58759944
6	1.0	4	4	out-results/global/performance/ts_n06_i04_u1.0000.rt-app.d/rt-app-task04-4.log	458	42152	170000	44371	170000	170000	7	1.4	347	0	0.0	126801	127043	0	58989971
6	1.0	4	5	out-results/global/performance/ts_n06_i04_u1.0000.rt-app.d/rt-app-task05-5.log	1892	174135	490000	183300	490000	490000	6	1.4	120	0	0.0	312465	312805	0	58799980
6	1.0	5	0	out-results/global/performance/ts_n06_i05_u1.0000.rt-app.d/rt-app-task00-0.log	1403	129166	1080000	135965	1080000	1080000	7	1.4	54	0	0.0	913034	948637	26	58312709
6	1.0	5	1	out-results/global/performance/ts_n06_i05_u1.0000.rt-app.d/rt-app-task01-1.log	3041	279837	690000	294566	690000	690000	6	1.4	85	0	0.0	404792	405249	0	58649959
