num_tasks	util	tset_idx	idx	filename	perf	c_duration	c_period	dl_runtime	dl_period	dl_deadline	cpu	freq	count	misses	miss_ratio	minslack	maxslack	migrations	tot_duration
6	1.0	0	0	out-results/global/schedutil/ts_n06_i00_u1.0000.rt-app.d/rt-app-task00-0.log	3710	341366	1150000	359333	1150000	1150000	5	0.8	51	0	0.0	160270	661849	26	58586637
6	1.0	0	1	out-results/global/schedutil/ts_n06_i00_u1.0000.rt-app.d/rt-app-task01-1.log	256	23614	100000	25614	100000	100000	5	0.5	590	0	0.0	27031	69301	0	58999958
6	1.0	0	2	out-results/global/schedutil/ts_n06_i00_u1.0000.rt-app.d/rt-app-task02-2.log	357	32873	910000	34873	910000	910000	7	0.8	64	0	0.0	566824	867222	36	58199159
6	1.0	0	3	out-results/global/schedutil/ts_n06_i00_u1.0000.rt-app.d/rt-app-task03-3.log	436	40169	540000	42284	540000	540000	4	0.8	109	0	0.0	387406	487746	52	58796627
6	1.0	0	4	out-results/global/schedutil/ts_n06_i00_u1.0000.rt-app.d/rt-app-task04-4.log	375	34535	320000	36535	320000	320000	4	0.5	184	0	0.0	220837	275091	0	58879934
6	1.0	0	5	out-results/global/schedutil/ts_n06_i00_u1.0000.rt-app.d/rt-app-task05-5.log	239	22072	120000	24072	120000	120000	7	0.5	491	0	0.0	50646	91282	0	58919930
6	1.0	1	0	out-results/global/schedutil/ts_n06_i01_u1.0000.rt-app.d/rt-app-task00-0.log	48	4492	320000	6492	320000	320000	7	0.6	184	0	0.0	310507	314945	3	58879972
6	1.0	1	1	out-results/global/schedutil/ts_n06_i01_u1.0000.rt-app.d/rt-app-task01-1.log	417	38376	100000	40396	100000	100000	4	0.6	590	0	0.0	16885	57843	0	58999940
6	1.0	1	2	out-results/global/schedutil/ts_n06_i01_u1.0000.rt-app.d/rt-app-task02-2.log	976	89810	1180000	94537	1180000	1180000	5	1.3	50	0	0.0	833364	1081308	33	58955883
6	1.0	1	3	out-results/global/schedutil/ts_n06_i01_u1.0000.rt-app.d/rt-app-task03-3.log	199	18345	400000	20345	400000	400000	6	1.3	147	0	0.0	360067	379726	24	58780369
6	1.0	1	4	out-results/global/schedutil/ts_n06_i01_u1.0000.rt-app.d/rt-app-task04-4.log	3568	328347	910000	345629	910000	910000	4	1.3	64	0	0.0	201584	539806	28	58195896
6	1.0	1	5	out-results/global/schedutil/ts_n06_i01_u1.0000.rt-app.d/rt-app-task05-5.log	175	16190	280000	18190	280000	280000	6	0.6	210	0	0.0	246285	262140	0	58799978
6	1.0	2	0	out-results/global/schedutil/ts_n06_i02_u1.0000.rt-app.d/rt-app-task00-0.log	1366	125707	610000	132324	610000	610000	5	0.9	96	0	0.0	158638	430353	50	58522752
6	1.0	2	1	out-results/global/schedutil/ts_n06_i02_u1.0000.rt-app.d/rt-app-task01-1.log	804	74030	660000	77927	660000	660000	5	0.9	89	0	0.0	268717	554086	51	58739972
6	1.0	2	2	out-results/global/schedutil/ts_n06_i02_u1.0000.rt-app.d/rt-app-task02-2.log	158	14581	460000	16581	460000	460000	4	0.9	128	0	0.0	315988	439054	55	58879924
6	1.0	2	3	out-results/global/schedutil/ts_n06_i02_u1.0000.rt-app.d/rt-app-task03-3.log	152	13987	130000	15987	130000	130000	4	0.4	453	0	0.0	78969	109912	0	58889893
6	1.0	2	4	out-results/global/schedutil/ts_n06_i02_u1.0000.rt-app.d/rt-app-task04-4.log	570	52472	210000	55234	210000	210000	6	0.4	280	0	0.0	21293	135044	0	58799993
6	1.0	2	5	out-results/global/schedutil/ts_n06_i02_u1.0000.rt-app.d/rt-app-task05-5.log	242	22296	100000	24296	100000	100000	5	0.4	590	0	0.0	19647	68088	0	58999862
6	1.0	3	0	out-results/global/schedutil/ts_n06_i03_u1.0000.rt-app.d/rt-app-task00-0.log	929	85512	180000	90013	180000	180000	5	0.8	327	0	0.0	24127	58061	1	58859932
6	1.0	3	1	out-results/global/schedutil/ts_n06_i03_u1.0000.rt-app.d/rt-app-task01-1.log	191	17626	220000	19626	220000	220000	6	0.8	268	0	0.0	48768	194718	16	58959929
6	1.0	3	2	out-results/global/schedutil/ts_n06_i03_u1.0000.rt-app.d/rt-app-task02-2.log	736	67753	580000	71319	580000	580000	6	1.0	101	0	0.0	397643	483288	61	58579959
6	1.0	3	3	out-results/global/schedutil/ts_n06_i03_u1.0000.rt-app.d/rt-app-task03-3.log	201	18578	820000	20578	820000	820000	4	1.0	71	0	0.0	686606	793393	27	58194006
6	1.0	3	4	out-results/global/schedutil/ts_n06_i03_u1.0000.rt-app.d/rt-app-task04-4.log	118	10922	120000	12922	120000	120000	7	0.8	491	0	0.0	97303	104277	0	58919971
6	1.0	3	5	out-results/global/schedutil/ts_n06_i03_u1.0000.rt-app.d/rt-app-task05-5.log	348	32093	220000	34093	220000	220000	5	1.0	268	0	0.0	51315	174116	6	58837235
6	1.0	4	0	out-results/global/schedutil/ts_n06_i04_u1.0000.rt-app.d/rt-app-task00-0.log	357	32877	350000	34877	350000	350000	6	0.6	168	0	0.0	266664	307294	39	58799824
6	1.0	4	1	out-results/global/schedutil/ts_n06_i04_u1.0000.rt-app.d/rt-app-task01-1.log	236	21800	660000	23800	660000	660000	6	0.9	89	0	0.0	497536	631605	32	58686529
6	1.0	4	2	out-results/global/schedutil/ts_n06_i04_u1.0000.rt-app.d/rt-app-task02-2.log	267	24619	620000	26619	620000	620000	5	0.9	95	0	0.0	210623	587959	48	58899964
6	1.0	4	3	out-results/global/schedutil/ts_n06_i04_u1.0000.rt-app.d/rt-app-task03-3.log	500	46009	260000	48431	260000	260000	5	0.6	226	0	0.0	142881	200261	6	58759859
6	1.0	4	4	out-results/global/schedutil/ts_n06_i04_u1.0000.rt-app.d/rt-app-task04-4.log	458	42152	170000	44371	170000	170000	4	0.6	347	0	0.0	62391	115319	0	58989866
6	1.0	4	5	out-results/global/schedutil/ts_n06_i04_u1.0000.rt-app.d/rt-app-task05-5.log	1892	174135	490000	183300	490000	490000	6	0.6	120	0	0.0	74117	264420	14	58799949
6	1.0	5	0	out-results/global/schedutil/ts_n06_i05_u1.0000.rt-app.d/rt-app-task00-0.log	1403	129166	1080000	135965	1080000	1080000	6	0.7	54	0	0.0	414158	912589	34	58319976
6	1.0	5	1	out-results/global/schedutil/ts_n06_i05_u1.0000.rt-app.d/rt-app-task01-1.log	3041	279837	690000	294566	690000	690000	7	0.7	85	0	0.0	112108	327310	7	58649960
6	1.0	5	2	out-results/global/schedutil/ts_n06_i05_u1.0000.rt-app.d/rt-app-task02-2.log	349	32178	290000	34178	290000	290000	4	0.7	203	0	0.0	212152	248163	2	58869941
6	1.0	5	3	out-results/global/schedutil/ts_n06_i05_u1.0000.rt-app.d/rt-app-task03-3.log	409	37639	1190000	39639	1190000	1190000	4	0.7	49	0	0.0	377632	1141117	22	58244079
6	1.0	5	4	out-results/global/schedutil/ts_n06_i05_u1.0000.rt-app.d/rt-app-task04-4.log	75	6949	260000	8949	260000	260000	6	0.7	226	0	0.0	234849	250841	18	58759908
6	1.0	5	5	out-results/global/schedutil/ts_n06_i05_u1.0000.rt-app.d/rt-app-task05-5.log	376	34626	140000	36626	140000	140000	5	0.7	421	0	0.0	57115	95025	0	58939925
6	1.0	6	0	out-results/global/schedutil/ts_n06_i06_u1.0000.rt-app.d/rt-app-task00-0.log	50	4648	150000	6648	150000	150000	4	1.1	393	0	0.0	140357	144770	0	58949935
6	1.0	6	1	out-results/global/schedutil/ts_n06_i06_u1.0000.rt-app.d/rt-app-task01-1.log	235	21649	670000	23649	670000	670000	6	1.1	88	0	0.0	607622	646149	21	58959947
6	1.0	6	2	out-results/global/schedutil/ts_n06_i06_u1.0000.rt-app.d/rt-app-task02-2.log	284	26135	410000	28135	410000	410000	6	1.1	143	0	0.0	365159	381257	14	58629924
6	1.0	6	3	out-results/global/schedutil/ts_n06_i06_u1.0000.rt-app.d/rt-app-task03-3.log	135	12465	150000	14465	150000	150000	7	1.1	393	0	0.0	130405	136187	0	58949941
6	1.0	6	4	out-results/global/schedutil/ts_n06_i06_u1.0000.rt-app.d/rt-app-task04-4.log	225	20736	520000	22736	520000	520000	6	1.1	113	2	0.017699115044247787	-83	497178	22	58725843
6	1.0	6	5	out-results/global/schedutil/ts_n06_i06_u1.0000.rt-app.d/rt-app-task05-5.log	1983	182527	270000	192134	270000	270000	5	1.1	218	0	0.0	27829	70098	0	58859962
