num_tasks	util	tset_idx	freq	count	misses	miss_ratio	minslack	maxslack	migrations
6	1.0	0	0	1489	0	0.0	74403	876471	42
6	1.0	1	0	1245	0	0.0	59606	1088597	58
6	1.0	2	0	1636	0	0.0	77028	584643	63
6	1.0	3	0	1526	0	0.0	92505	800982	54
6	1.0	4	0	1045	0	0.0	126801	637730	55
6	1.0	5	0	1038	0	0.0	104466	1151611	35
6	1.0	6	0	1348	0	0.0	83541	647882	49
6	1.0	7	0	1521	0	0.0	95113	812348	62
6	1.0	8	0	965	0	0.0	139472	893124	40
6	1.0	9	0	1829	0	0.0	107480	404849	142
6	1.15	0	0	1489	0	0.0	70932	871178	55
6	1.15	1	0	1245	0	0.0	87691	786239	51
6	1.15	2	0	1636	0	0.0	73008	573373	60
6	1.15	3	0	1526	0	0.0	106650	797835	101
6	1.15	4	0	1045	0	0.0	129835	634071	92
6	1.15	5	0	1038	0	0.0	114710	1145852	73
6	1.15	6	0	1348	0	0.0	70352	644273	67
6	1.15	7	0	1521	0	0.0	89225	794693	88
6	1.15	8	0	965	0	0.0	137790	888824	56
6	1.15	9	0	1829	0	0.0	93778	393601	162
6	1.3	0	0	1489	0	0.0	69915	866090	41
6	1.3	1	0	1245	0	0.0	82025	732976	67
6	1.3	2	0	1636	0	0.0	64899	561988	78
6	1.3	3	0	1527	0	0.0	50568	794718	73
6	1.3	4	0	1045	0	0.0	124950	630466	61
6	1.3	5	0	1038	0	0.0	104293	1140100	72
6	1.3	6	0	1348	0	0.0	108185	640686	36
6	1.3	7	0	1521	0	0.0	83318	777129	78
6	1.3	8	0	965	0	0.0	135926	884513	91
6	1.3	9	0	1311	0	0.0	96383	407642	92
6	1.45	0	0	1489	0	0.0	61575	861035	66
6	1.45	1	0	1245	0	0.0	76208	679631	66
6	1.45	2	0	1636	0	0.0	62622	550695	85
6	1.45	3	0	1527	0	0.0	47458	791577	65
6	1.45	4	0	1045	0	0.0	119680	626835	75
6	1.45	5	0	1038	0	0.0	96643	1134328	75
6	1.45	6	0	1348	0	0.0	93286	637062	63
6	1.45	7	0	1521	0	0.0	72142	759467	105
6	1.45	8	0	965	0	0.0	134053	880250	63
6	1.45	9	0	1311	0	0.0	95844	407151	127
6	1.6	0	0	1489	0	0.0	62065	855974	57
6	1.6	1	0	1245	0	0.0	70342	626392	65
6	1.6	2	0	1636	0	0.0	60430	539382	76
6	1.6	3	0	1526	0	0.0	46763	788432	86
6	1.6	4	0	1045	0	0.0	110560	623196	77
6	1.6	5	0	1038	0	0.0	87927	1128638	89
6	1.6	6	0	1348	0	0.0	77802	633447	39
6	1.6	7	0	1521	0	0.0	86710	774673	74
6	1.6	8	0	965	0	0.0	121984	876156	88
6	1.6	9	0	1311	0	0.0	95077	406665	117
6	1.75	0	0	1489	0	0.0	57659	850926	56
6	1.75	1	0	1245	0	0.0	64469	573098	66
6	1.75	2	0	1636	0	0.0	58134	528035	79
6	1.75	3	0	1527	0	0.0	44881	785274	77
6	1.75	4	0	1045	0	0.0	107042	619665	85
6	1.75	5	0	1038	0	0.0	79172	1122843	81
6	1.75	6	0	1348	0	0.0	62295	629901	46
